ambient_c,internal_c,setpoint,adc,pwm
22.681,23.045,231,257.266,0.00
22.638,23.045,231,257.162,0.00
22.638,23.013,231,256.852,0.00
22.638,23.003,231,256.528,0.00
22.638,23.003,231,255.827,0.00
22.638,23.003,231,256.062,0.00
22.659,23.003,231,255.433,0.00
22.681,23.003,231,255.181,0.00
22.681,22.992,231,254.617,0.00
22.681,23.003,231,254.472,0.00
22.702,22.970,231,254.021,0.00
22.681,23.003,231,253.639,0.00
22.670,23.003,231,253.250,0.00
22.681,23.003,231,253.154,0.00
22.692,23.024,231,253.015,0.00
22.681,23.003,231,252.633,0.00
22.713,23.024,231,252.279,0.00
22.745,23.035,231,252.423,0.00
22.724,23.035,231,251.533,0.00
22.745,23.035,231,251.183,0.00
22.745,23.035,231,251.239,0.00
22.767,23.035,231,250.692,0.00
22.745,23.045,231,250.580,0.00
22.767,23.035,231,250.490,0.00
22.745,23.035,231,250.092,0.00
22.767,23.056,231,250.013,0.00
22.767,23.045,231,249.981,0.00
22.745,23.035,231,249.683,0.00
22.767,23.056,231,249.675,0.00
22.767,23.045,231,249.395,0.00
22.777,23.056,231,249.431,0.00
22.777,23.056,231,249.220,0.00
22.777,23.045,231,249.146,0.00
22.777,23.078,231,249.128,0.00
22.767,23.056,231,249.059,0.00
22.767,23.056,231,248.584,0.00
22.788,23.045,231,248.366,0.00
22.777,23.067,231,248.207,0.00
22.767,23.056,231,248.063,0.00
22.799,23.067,231,247.716,0.00
22.788,23.056,231,247.255,0.00
22.799,23.088,231,246.982,0.00
22.777,23.067,231,247.111,0.00
22.777,23.078,231,246.873,0.00
22.810,23.056,231,246.796,0.00
22.810,23.078,231,246.611,0.00
22.810,23.056,231,246.330,0.00
22.777,23.067,231,246.215,0.00
22.810,23.045,231,246.045,0.00
22.820,23.056,231,246.004,0.00
22.810,23.078,231,245.602,0.00
22.810,23.088,231,245.604,0.00
22.820,23.078,231,245.722,0.00
22.810,23.056,231,245.497,0.00
22.831,23.067,231,245.179,0.00
22.820,23.078,231,245.027,0.00
22.810,23.088,231,244.629,0.00
22.810,23.056,231,244.507,0.00
22.842,23.067,231,244.667,0.00
22.831,23.099,231,244.319,0.00
22.810,23.056,231,244.049,0.00
22.831,23.056,231,243.637,0.00
22.831,23.045,231,243.475,0.00
22.842,23.078,231,243.238,0.00
22.820,23.078,231,243.116,0.00
22.820,23.078,231,243.072,0.00
22.810,23.078,231,242.752,0.00
22.820,23.067,231,242.694,0.00
22.842,23.067,231,242.729,0.00
22.831,23.056,231,242.401,0.00
22.842,23.056,231,242.053,0.00
22.842,23.056,231,241.710,0.00
22.852,23.056,231,241.494,0.00
22.842,23.045,231,241.473,0.00
22.852,23.056,231,241.424,0.00
22.852,23.078,231,240.904,0.00
22.842,23.056,231,241.005,0.00
22.863,23.035,231,240.667,0.00
22.863,23.045,231,240.362,0.00
22.852,23.045,231,240.294,0.00
22.874,23.045,231,240.341,0.00
22.852,23.045,231,240.175,0.00
22.842,23.045,231,239.641,0.00
22.852,23.035,231,239.710,0.00
22.852,23.045,231,239.687,0.00
22.831,23.035,231,239.416,0.00
22.852,23.045,231,239.423,0.00
22.852,23.035,231,239.527,0.00
22.874,23.056,231,239.247,0.00
22.863,23.035,231,238.859,0.00
22.874,23.035,231,238.493,0.00
22.863,23.056,231,238.428,0.00
22.885,23.035,231,238.271,0.00
22.852,23.056,231,238.077,0.00
22.852,23.045,231,237.815,0.00
22.863,23.056,231,237.514,0.00
22.842,23.045,231,237.202,0.00
22.874,23.045,231,237.025,0.00
22.852,23.045,231,237.075,0.00
22.852,23.035,231,236.830,0.00
22.863,23.013,231,236.640,0.00
22.863,23.013,231,236.439,0.00
22.852,23.024,231,235.863,0.00
22.863,23.024,231,236.387,0.00
22.863,23.035,231,236.131,0.00
22.874,23.013,231,235.740,0.00
22.863,23.013,231,235.197,0.00
22.852,23.035,231,235.020,0.00
22.863,23.013,231,234.933,0.00
22.863,23.013,231,234.593,0.00
22.863,23.024,231,234.369,0.00
22.852,23.003,231,234.099,0.00
22.852,23.013,231,234.098,0.00
22.863,23.013,231,233.740,0.00
22.863,22.992,231,233.551,0.00
22.852,22.981,231,233.585,0.00
22.842,23.003,231,233.033,0.00
22.831,22.992,231,232.926,0.00
22.852,22.981,231,232.331,0.00
22.842,22.992,231,232.166,0.00
22.842,22.992,231,231.862,0.00
22.852,22.981,231,231.705,0.00
22.852,22.981,231,231.374,0.00
22.852,22.981,231,231.146,0.00
22.831,23.003,231,230.657,3.45
22.831,22.981,231,230.597,4.08
22.863,22.981,231,230.175,8.37
22.842,22.981,231,229.978,10.41
22.831,22.960,231,229.762,12.67
22.831,22.949,231,229.432,16.08
22.831,22.981,231,229.371,16.81
22.831,22.960,231,229.136,19.30
22.842,22.981,231,228.742,23.42
22.831,22.981,231,228.208,28.97
22.842,22.960,231,228.268,28.57
22.842,22.970,231,228.178,29.68
22.831,22.949,231,227.998,31.71
22.820,22.960,231,227.741,34.52
22.831,22.970,231,227.696,35.22
22.831,22.938,231,227.208,40.38
22.810,22.960,231,226.904,43.73
22.820,22.938,231,226.778,45.31
22.820,22.938,231,226.839,45.01
22.831,22.938,231,226.912,44.59
22.820,22.938,231,226.597,48.06
22.831,22.938,231,226.859,45.76
22.820,22.960,231,226.786,46.81
22.820,22.960,231,226.582,49.18
22.810,22.938,231,226.566,49.67
22.810,22.938,231,226.378,51.89
22.831,22.927,231,226.327,52.75
22.799,22.938,231,226.137,55.02
22.810,22.927,231,226.165,55.10
22.810,22.927,231,225.959,57.54
22.810,22.938,231,225.578,61.75
22.810,22.938,231,225.258,65.39
22.799,22.927,231,225.452,63.86
22.788,22.938,231,225.210,66.72
22.810,22.927,231,225.186,67.40
22.799,22.938,231,224.764,72.08
22.810,22.927,231,224.964,70.53
22.799,22.938,231,224.940,71.23
22.788,22.927,231,224.707,74.03
22.810,22.938,231,224.660,74.98
22.788,22.917,231,224.653,75.52
22.799,22.906,231,224.431,78.24
22.788,22.938,231,224.614,76.88
22.810,22.917,231,224.767,75.82
22.788,22.927,231,224.699,76.97
22.810,22.917,231,224.804,76.39
22.799,22.917,231,225.021,74.67
22.788,22.949,231,225.363,71.67
22.788,22.927,231,225.175,73.98
22.799,22.927,231,225.144,74.74
22.788,22.938,231,225.417,72.42
22.767,22.917,231,225.498,72.03
22.767,22.917,231,225.651,70.90
22.767,22.906,231,225.689,70.91
22.777,22.938,231,225.496,73.26
22.767,22.938,231,225.784,70.77
22.799,22.927,231,225.807,70.93
22.767,22.927,231,225.803,71.36
22.767,22.927,231,225.479,75.01
22.756,22.906,231,225.357,76.66
22.788,22.927,231,164.498,255.00
22.788,22.917,231,160.576,255.00
22.767,22.927,231,167.025,255.00
22.777,22.906,231,168.075,255.00
22.767,22.917,231,168.892,255.00
22.767,22.906,231,169.000,255.00
22.756,22.917,231,169.003,255.00
22.756,22.906,231,169.039,255.00
22.767,22.906,231,169.157,255.00
22.777,22.906,231,169.354,255.00
22.767,22.906,231,169.548,255.00
22.767,22.927,231,169.697,255.00
22.767,22.895,231,169.818,255.00
22.767,22.927,231,169.885,255.00
22.745,22.906,231,169.943,255.00
22.788,22.906,231,169.977,255.00
22.788,22.906,231,169.993,255.00
22.756,22.885,231,169.998,255.00
22.799,22.917,231,169.999,255.00
22.767,22.895,231,170.000,255.00
22.777,22.895,231,170.000,255.00
22.767,22.906,231,170.000,255.00
22.767,22.906,231,170.000,255.00
22.767,22.895,231,170.000,255.00
22.756,22.895,231,170.000,255.00
22.777,22.885,231,170.000,255.00
22.767,22.885,231,170.000,255.00
22.767,22.906,231,170.000,255.00
22.767,22.906,231,170.000,255.00
22.767,22.885,231,170.000,255.00
22.777,22.874,231,170.000,255.00
22.767,22.885,231,170.000,255.00
22.756,22.895,231,170.000,255.00
22.756,22.885,231,170.000,255.00
22.745,22.885,231,170.000,255.00
22.745,22.874,231,170.000,255.00
22.767,22.885,231,170.000,255.00
22.767,22.863,231,170.000,255.00
22.767,22.863,231,170.000,255.00
22.756,22.885,231,170.000,255.00
22.767,22.874,231,170.000,255.00
22.767,22.885,231,170.000,255.00
22.756,22.895,231,170.000,255.00
22.767,22.874,231,170.000,255.00
22.756,22.874,231,170.000,255.00
22.767,22.874,231,170.000,255.00
22.777,22.895,231,170.000,255.00
22.745,22.885,231,170.000,255.00
22.767,22.885,231,170.000,255.00
22.777,22.863,231,170.000,255.00
22.756,22.874,231,170.000,255.00
22.767,22.863,231,170.000,255.00
22.777,22.885,231,170.000,255.00
22.756,22.874,231,170.001,255.00
22.767,22.874,231,170.000,255.00
22.767,22.863,231,170.001,255.00
22.767,22.852,231,170.001,255.00
22.777,22.874,231,170.001,255.00
22.777,22.863,231,170.001,255.00
22.756,22.852,231,170.002,255.00
22.777,22.874,231,170.002,255.00
22.767,22.874,231,170.002,255.00
22.756,22.863,231,170.002,255.00
22.767,22.852,231,170.003,255.00
22.745,22.863,231,170.004,255.00
22.756,22.874,231,170.005,255.00
22.777,22.852,231,170.018,255.00
22.767,22.874,231,170.024,255.00
22.767,22.842,231,170.025,255.00
22.767,22.863,231,170.032,255.00
22.756,22.874,231,170.039,255.00
22.767,22.852,231,170.041,255.00
22.767,22.852,231,170.051,255.00
22.745,22.863,231,170.056,255.00
22.777,22.852,231,170.055,255.00
22.756,22.842,231,170.061,255.00
22.745,22.842,231,170.068,255.00
22.756,22.852,231,170.072,255.00
22.756,22.852,231,170.067,255.00
22.767,22.874,231,170.072,255.00
