si_7021_ambient_c,si7021_internal_c,diff
22.970,22.885,0.086
22.949,22.874,0.075
22.938,22.895,0.043
22.970,22.885,0.086
22.938,22.874,0.064
22.970,22.906,0.064
22.960,22.874,0.086
22.970,22.895,0.075
22.960,22.874,0.086
22.949,22.906,0.043
22.970,22.895,0.075
22.960,22.885,0.075
22.970,22.906,0.064
22.970,22.885,0.086
22.960,22.874,0.086
22.970,22.885,0.086
22.949,22.906,0.043
22.970,22.874,0.097
22.981,22.885,0.097
22.970,22.895,0.075
22.970,22.885,0.086
22.970,22.895,0.075
22.970,22.885,0.086
22.960,22.895,0.064
22.949,22.874,0.075
22.949,22.885,0.064
22.938,22.863,0.075
22.960,22.895,0.064
22.981,22.874,0.107
22.949,22.863,0.086
22.960,22.874,0.086
22.949,22.874,0.075
22.970,22.874,0.097
22.970,22.874,0.097
22.960,22.863,0.097
22.949,22.885,0.064
22.970,22.895,0.075
22.949,22.874,0.075
22.949,22.874,0.075
22.960,22.874,0.086
22.960,22.895,0.064
22.970,22.895,0.075
22.970,22.874,0.097
22.970,22.885,0.086
22.960,22.906,0.054
22.970,22.895,0.075
22.981,22.874,0.107
22.949,22.895,0.054
22.949,22.885,0.064
22.970,22.885,0.086
22.960,22.895,0.064
22.960,22.885,0.075
22.970,22.874,0.097
22.949,22.885,0.064
22.970,22.895,0.075
22.960,22.863,0.097
22.949,22.874,0.075
22.949,22.874,0.075
22.960,22.885,0.075
22.981,22.885,0.097
22.970,22.906,0.064
22.949,22.874,0.075
22.960,22.874,0.086
22.949,22.874,0.075
22.970,22.895,0.075
22.992,22.885,0.107
22.960,22.895,0.064
22.938,22.874,0.064
22.949,22.895,0.054
22.960,22.906,0.054
22.970,22.906,0.064
22.960,22.874,0.086
22.981,22.895,0.086
22.960,22.895,0.064
22.960,22.885,0.075
22.949,22.874,0.075
22.960,22.895,0.064
22.970,22.874,0.097
22.949,22.895,0.054
22.938,22.885,0.054
22.949,22.874,0.075
22.970,22.895,0.075
22.970,22.874,0.097
22.970,22.895,0.075
22.949,22.885,0.064
22.970,22.895,0.075
22.960,22.874,0.086
22.960,22.895,0.064
22.949,22.885,0.064
22.970,22.885,0.086
22.938,22.874,0.064
22.960,22.874,0.086
22.970,22.895,0.075
22.970,22.895,0.075
22.960,22.895,0.064
22.970,22.885,0.086
22.970,22.895,0.075
22.949,22.874,0.075
22.970,22.885,0.086
22.949,22.885,0.064
22.970,22.885,0.086
22.938,22.885,0.054
22.960,22.874,0.086
22.949,22.895,0.054
22.949,22.895,0.054
22.970,22.885,0.086
22.960,22.885,0.075
22.960,22.895,0.064
22.949,22.885,0.064
22.970,22.885,0.086
22.960,22.895,0.064
22.949,22.895,0.054
22.960,22.895,0.064
22.970,22.874,0.097
22.960,22.885,0.075
22.960,22.874,0.086
22.970,22.906,0.064
22.949,22.885,0.064
22.949,22.885,0.064
22.938,22.885,0.054
22.960,22.895,0.064
22.970,22.885,0.086
22.949,22.874,0.075
22.938,22.874,0.064
22.960,22.885,0.075
22.981,22.895,0.086
22.981,22.885,0.097
22.970,22.885,0.086
22.960,22.895,0.064
22.970,22.863,0.107
22.970,22.885,0.086
22.970,22.885,0.086
22.960,22.874,0.086
22.960,22.885,0.075
22.960,22.906,0.054
22.970,22.906,0.064
22.960,22.895,0.064
22.970,22.895,0.075
22.960,22.874,0.086
22.970,22.895,0.075
22.970,22.895,0.075
22.960,22.885,0.075
22.970,22.885,0.086
22.970,22.895,0.075
22.981,22.885,0.097
22.949,22.885,0.064
22.960,22.874,0.086
22.970,22.885,0.086
22.960,22.906,0.054
22.949,22.895,0.054
22.949,22.895,0.054
22.960,22.874,0.086
22.949,22.885,0.064
22.970,22.885,0.086
22.970,22.874,0.097
22.970,22.885,0.086
22.960,22.895,0.064
22.960,22.885,0.075
22.981,22.874,0.107
22.970,22.874,0.097
22.960,22.885,0.075
22.970,22.885,0.086
22.970,22.917,0.054
22.949,22.885,0.064
22.970,22.895,0.075
22.970,22.895,0.075
22.970,22.885,0.086
22.970,22.885,0.086
22.970,22.874,0.097
22.981,22.874,0.107
22.970,22.885,0.086
22.970,22.885,0.086
22.992,22.895,0.097
22.960,22.906,0.054
22.970,22.885,0.086
22.970,22.885,0.086
22.970,22.885,0.086
22.960,22.895,0.064
22.960,22.895,0.064
22.960,22.895,0.064
22.949,22.895,0.054
22.960,22.895,0.064
22.970,22.906,0.064
22.938,22.895,0.043
22.960,22.885,0.075
22.938,22.906,0.032
22.938,22.906,0.032
22.981,22.895,0.086
22.970,22.874,0.097
22.960,22.895,0.064
22.970,22.895,0.075
22.981,22.917,0.064
22.970,22.906,0.064
22.970,22.917,0.054
22.981,22.917,0.064
22.960,22.895,0.064
22.970,22.885,0.086
22.970,22.885,0.086
22.960,22.874,0.086
22.981,22.885,0.097
22.981,22.895,0.086
22.970,22.895,0.075
22.949,22.895,0.054
22.960,22.906,0.054
22.970,22.895,0.075
22.970,22.895,0.075
22.970,22.885,0.086
22.960,22.885,0.075
22.960,22.895,0.064
22.970,22.885,0.086
22.970,22.885,0.086
22.970,22.895,0.075
22.970,22.885,0.086
22.960,22.895,0.064
22.960,22.895,0.064
22.949,22.885,0.064
22.949,22.906,0.043
22.960,22.885,0.075
22.960,22.885,0.075
22.960,22.885,0.075
22.960,22.895,0.064
22.960,22.895,0.064
22.938,22.906,0.032
22.970,22.874,0.097
22.960,22.895,0.064
22.960,22.885,0.075
22.970,22.895,0.075
22.960,22.895,0.064
22.960,22.895,0.064
22.960,22.906,0.054
22.970,22.906,0.064
22.981,22.885,0.097
22.960,22.885,0.075
22.970,22.895,0.075
22.981,22.895,0.086
22.970,22.885,0.086
22.970,22.885,0.086
22.970,22.885,0.086
22.970,22.874,0.097
22.981,22.906,0.075
22.970,22.885,0.086
22.970,22.895,0.075
22.970,22.874,0.097
22.960,22.895,0.064
22.981,22.906,0.075
22.960,22.885,0.075
22.949,22.895,0.054
22.949,22.917,0.032
22.970,22.906,0.064
22.970,22.895,0.075
22.960,22.895,0.064
22.960,22.885,0.075
22.981,22.906,0.075
22.970,22.895,0.075
22.960,22.885,0.075
22.970,22.874,0.097
22.981,22.874,0.107
22.949,22.906,0.043
22.970,22.906,0.064
22.960,22.895,0.064
22.960,22.895,0.064
22.960,22.874,0.086
22.960,22.917,0.043
22.938,22.885,0.054
22.960,22.895,0.064
22.970,22.906,0.064
22.970,22.895,0.075
22.970,22.906,0.064
22.960,22.906,0.054
22.970,22.885,0.086
22.970,22.906,0.064
22.981,22.895,0.086
22.981,22.906,0.075
22.970,22.885,0.086
22.981,22.895,0.086
22.949,22.895,0.054
22.960,22.874,0.086
22.949,22.874,0.075
22.970,22.906,0.064
22.981,22.895,0.086
22.970,22.895,0.075
22.981,22.895,0.086
22.981,22.906,0.075
22.960,22.874,0.086
22.970,22.895,0.075
22.970,22.885,0.086
22.938,22.906,0.032
22.970,22.906,0.064
22.970,22.906,0.064
22.970,22.906,0.064
22.960,22.885,0.075
22.981,22.895,0.086
22.981,22.885,0.097
22.970,22.895,0.075
22.992,22.885,0.107
22.960,22.895,0.064
22.981,22.906,0.075
22.949,22.885,0.064
22.970,22.895,0.075
22.981,22.885,0.097
22.970,22.895,0.075
22.970,22.895,0.075
22.970,22.895,0.075
22.981,22.895,0.086
22.960,22.906,0.054
22.960,22.874,0.086
22.960,22.885,0.075
22.970,22.885,0.086
22.970,22.917,0.054
22.992,22.895,0.097
22.949,22.906,0.043
22.960,22.895,0.064
22.981,22.895,0.086
22.970,22.906,0.064
22.970,22.895,0.075
22.949,22.906,0.043
22.970,22.906,0.064
22.960,22.906,0.054
22.992,22.885,0.107
22.981,22.895,0.086
22.970,22.906,0.064
22.981,22.885,0.097
22.970,22.917,0.054
22.970,22.885,0.086
22.970,22.895,0.075
22.981,22.885,0.097
22.949,22.885,0.064
22.970,22.906,0.064
22.981,22.895,0.086
22.960,22.885,0.075
22.970,22.895,0.075
22.970,22.895,0.075
22.949,22.906,0.043
22.960,22.906,0.054
22.970,22.906,0.064
22.981,22.906,0.075
22.960,22.895,0.064
22.981,22.885,0.097
22.970,22.906,0.064
22.970,22.885,0.086
22.949,22.895,0.054
22.981,22.917,0.064
22.949,22.917,0.032
22.992,22.895,0.097
22.981,22.906,0.075
22.970,22.895,0.075
22.970,22.895,0.075
22.970,22.885,0.086
22.970,22.906,0.064
22.981,22.895,0.086
22.992,22.895,0.097
22.970,22.895,0.075
22.960,22.895,0.064
22.992,22.885,0.107
22.992,22.874,0.118
22.992,22.885,0.107
22.960,22.906,0.054
22.970,22.885,0.086
22.981,22.874,0.107
22.970,22.906,0.064
22.970,22.895,0.075
22.970,22.895,0.075
22.960,22.895,0.064
22.970,22.885,0.086
22.981,22.874,0.107
22.981,22.906,0.075
22.949,22.895,0.054
22.960,22.906,0.054
22.981,22.895,0.086
22.960,22.906,0.054
22.970,22.895,0.075
22.970,22.906,0.064
22.970,22.906,0.064
22.981,22.874,0.107
22.970,22.885,0.086
22.981,22.895,0.086
22.970,22.895,0.075
22.970,22.906,0.064
22.981,22.885,0.097
22.981,22.895,0.086
22.970,22.906,0.064
22.970,22.885,0.086
22.970,22.906,0.064
22.970,22.885,0.086
22.970,22.906,0.064
22.970,22.906,0.064
22.970,22.895,0.075
22.981,22.874,0.107
22.981,22.885,0.097
22.981,22.895,0.086
22.992,22.906,0.086
22.981,22.906,0.075
22.981,22.885,0.097
22.970,22.895,0.075
22.981,22.895,0.086
22.981,22.906,0.075
22.970,22.874,0.097
22.992,22.885,0.107
22.970,22.895,0.075
22.970,22.895,0.075
22.960,22.906,0.054
22.970,22.874,0.097
22.949,22.895,0.054
22.981,22.885,0.097
22.960,22.895,0.064
22.970,22.906,0.064
22.981,22.895,0.086
22.970,22.895,0.075
22.960,22.906,0.054
22.949,22.895,0.054
22.960,22.895,0.064
22.949,22.906,0.043
22.949,22.885,0.064
22.970,22.895,0.075
22.949,22.874,0.075
22.970,22.906,0.064
22.970,22.906,0.064
22.970,22.895,0.075
22.981,22.895,0.086
22.981,22.906,0.075
22.970,22.895,0.075
23.003,22.917,0.086
22.981,22.906,0.075
22.970,22.906,0.064
22.960,22.906,0.054
22.970,22.885,0.086
22.981,22.895,0.086
22.981,22.895,0.086
22.970,22.895,0.075
22.970,22.906,0.064
22.981,22.895,0.086
22.981,22.874,0.107
22.970,22.895,0.075
22.992,22.895,0.097
22.981,22.895,0.086
22.970,22.906,0.064
22.981,22.895,0.086
22.970,22.906,0.064
22.970,22.906,0.064
22.970,22.895,0.075
22.970,22.885,0.086
22.981,22.885,0.097
22.970,22.895,0.075
22.970,22.895,0.075
22.970,22.895,0.075
22.970,22.885,0.086
22.970,22.895,0.075
22.960,22.906,0.054
22.992,22.906,0.086
22.970,22.906,0.064
22.970,22.906,0.064
22.970,22.895,0.075
22.981,22.895,0.086
22.992,22.895,0.097
22.970,22.885,0.086
22.981,22.895,0.086
22.970,22.906,0.064
22.970,22.895,0.075
22.981,22.906,0.075
22.970,22.895,0.075
22.981,22.906,0.075
22.992,22.895,0.097
22.970,22.895,0.075
22.960,22.895,0.064
22.960,22.885,0.075
22.970,22.895,0.075
22.960,22.895,0.064
22.992,22.906,0.086
22.960,22.885,0.075
22.992,22.906,0.086
22.970,22.885,0.086
22.970,22.906,0.064
22.970,22.906,0.064
22.981,22.895,0.086
22.981,22.895,0.086
22.981,22.895,0.086
22.970,22.906,0.064
22.981,22.895,0.086
22.981,22.874,0.107
22.949,22.885,0.064
22.960,22.885,0.075
22.970,22.895,0.075
22.981,22.906,0.075
22.970,22.927,0.043
22.970,22.906,0.064
22.981,22.906,0.075
22.981,22.906,0.075
22.992,22.895,0.097
22.970,22.906,0.064
22.970,22.885,0.086
22.970,22.906,0.064
22.960,22.895,0.064
22.970,22.895,0.075
22.949,22.874,0.075
22.970,22.906,0.064
22.992,22.895,0.097
22.970,22.917,0.054
22.970,22.895,0.075
22.970,22.906,0.064
22.960,22.917,0.043
22.981,22.885,0.097
22.970,22.917,0.054
22.970,22.895,0.075
22.960,22.917,0.043
22.970,22.885,0.086
22.970,22.906,0.064
22.992,22.906,0.086
22.970,22.895,0.075
23.003,22.895,0.107
22.981,22.895,0.086
22.981,22.895,0.086
22.970,22.906,0.064
22.960,22.906,0.054
22.970,22.906,0.064
22.970,22.885,0.086
22.981,22.906,0.075
22.960,22.906,0.054
22.970,22.906,0.064
22.970,22.895,0.075
22.970,22.906,0.064
22.981,22.895,0.086
22.970,22.895,0.075
22.981,22.885,0.097
22.981,22.885,0.097
22.981,22.906,0.075
22.970,22.917,0.054
22.981,22.885,0.097
22.981,22.885,0.097
22.981,22.906,0.075
22.981,22.906,0.075
22.992,22.917,0.075
22.992,22.906,0.086
22.949,22.895,0.054
22.992,22.906,0.086
22.981,22.895,0.086
22.970,22.895,0.075
22.981,22.906,0.075
22.981,22.895,0.086
22.981,22.885,0.097
22.970,22.895,0.075
22.981,22.906,0.075
22.970,22.895,0.075
22.970,22.917,0.054
22.981,22.895,0.086
22.970,22.906,0.064
22.981,22.906,0.075
22.970,22.906,0.064
22.970,22.895,0.075
22.970,22.906,0.064
22.970,22.917,0.054
22.970,22.885,0.086
22.981,22.895,0.086
22.981,22.906,0.075
22.981,22.906,0.075
22.981,22.906,0.075
22.970,22.874,0.097
22.970,22.895,0.075
22.960,22.895,0.064
22.970,22.885,0.086
22.949,22.927,0.021
22.981,22.906,0.075
22.970,22.906,0.064
22.992,22.906,0.086
22.992,22.895,0.097
22.981,22.906,0.075
22.981,22.906,0.075
22.992,22.895,0.097
22.970,22.895,0.075
22.970,22.895,0.075
22.960,22.895,0.064
22.992,22.906,0.086
22.970,22.885,0.086
22.970,22.895,0.075
22.960,22.895,0.064
22.992,22.906,0.086
22.981,22.895,0.086
22.981,22.927,0.054
22.970,22.895,0.075
22.981,22.917,0.064
22.981,22.895,0.086
22.970,22.906,0.064
22.970,22.906,0.064
22.981,22.885,0.097
22.970,22.895,0.075
22.992,22.906,0.086
22.970,22.906,0.064
22.970,22.895,0.075
22.981,22.906,0.075
22.981,22.906,0.075
22.970,22.906,0.064
22.970,22.906,0.064
22.970,22.885,0.086
22.970,22.906,0.064
22.949,22.906,0.043
22.981,22.906,0.075
22.981,22.895,0.086
22.992,22.917,0.075
22.992,22.885,0.107
22.981,22.906,0.075
22.970,22.917,0.054
22.981,22.895,0.086
22.981,22.906,0.075
22.981,22.906,0.075
22.981,22.895,0.086
22.981,22.895,0.086
22.970,22.906,0.064
22.992,22.906,0.086
22.970,22.917,0.054
23.003,22.917,0.086
22.970,22.895,0.075
22.992,22.906,0.086
22.970,22.906,0.064
22.981,22.906,0.075
22.981,22.906,0.075
22.970,22.906,0.064
22.992,22.906,0.086
22.981,22.906,0.075
22.992,22.906,0.086
22.970,22.895,0.075
22.970,22.895,0.075
22.992,22.895,0.097
22.970,22.895,0.075
22.992,22.895,0.097
22.960,22.906,0.054
22.970,22.917,0.054
22.981,22.906,0.075
22.970,22.906,0.064
22.970,22.895,0.075
22.981,22.917,0.064
22.981,22.906,0.075
22.970,22.927,0.043
22.981,22.895,0.086
22.981,22.906,0.075
22.992,22.917,0.075
22.970,22.895,0.075
22.992,22.895,0.097
22.992,22.906,0.086
22.981,22.906,0.075
22.970,22.895,0.075
22.970,22.906,0.064
22.981,22.895,0.086
22.981,22.895,0.086
22.970,22.906,0.064
22.960,22.885,0.075
22.970,22.906,0.064
22.992,22.927,0.064
22.981,22.895,0.086
22.981,22.895,0.086
22.970,22.895,0.075
22.981,22.895,0.086
22.981,22.906,0.075
22.981,22.906,0.075
22.992,22.885,0.107
22.970,22.906,0.064
22.981,22.917,0.064
22.970,22.885,0.086
22.949,22.906,0.043
22.992,22.906,0.086
22.992,22.906,0.086
22.970,22.885,0.086
22.981,22.906,0.075
22.970,22.917,0.054
22.981,22.906,0.075
22.992,22.917,0.075
22.981,22.906,0.075
22.981,22.906,0.075
22.992,22.906,0.086
22.970,22.906,0.064
22.970,22.895,0.075
22.992,22.895,0.097
22.970,22.927,0.043
22.981,22.906,0.075
22.970,22.906,0.064
22.981,22.906,0.075
22.981,22.895,0.086
22.970,22.906,0.064
23.003,22.906,0.097
22.970,22.906,0.064
23.003,22.885,0.118
22.981,22.906,0.075
22.992,22.906,0.086
23.003,22.917,0.086
22.992,22.906,0.086
22.981,22.895,0.086
22.981,22.906,0.075
22.960,22.906,0.054
22.981,22.895,0.086
22.970,22.927,0.043
22.981,22.906,0.075
23.003,22.906,0.097
22.981,22.895,0.086
22.981,22.885,0.097
22.981,22.906,0.075
22.970,22.885,0.086
22.970,22.906,0.064
22.970,22.917,0.054
22.981,22.906,0.075
22.949,22.906,0.043
22.981,22.885,0.097
22.981,22.885,0.097
23.003,22.906,0.097
22.981,22.906,0.075
22.970,22.895,0.075
22.970,22.906,0.064
22.981,22.906,0.075
22.992,22.917,0.075
22.970,22.895,0.075
23.003,22.917,0.086
22.992,22.906,0.086
22.992,22.927,0.064
22.960,22.906,0.054
22.970,22.895,0.075
22.981,22.917,0.064
22.981,22.895,0.086
22.992,22.906,0.086
22.970,22.906,0.064
22.981,22.906,0.075
23.003,22.895,0.107
22.981,22.906,0.075
22.981,22.917,0.064
22.992,22.917,0.075
22.981,22.895,0.086
22.992,22.906,0.086
22.992,22.906,0.086
22.981,22.917,0.064
22.981,22.906,0.075
22.970,22.895,0.075
22.981,22.906,0.075
22.992,22.895,0.097
22.992,22.885,0.107
22.981,22.895,0.086
22.992,22.917,0.075
22.981,22.895,0.086
23.003,22.917,0.086
22.992,22.917,0.075
23.003,22.927,0.075
