time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,amps,pid_i
1,25.63,78.13,48.07,24.00,75.20,52.82,0.10,0.00
2,25.62,78.12,48.04,24.02,75.24,52.82,0.10,0.00
3,25.63,78.13,48.05,24.02,75.24,52.81,0.10,0.00
4,25.63,78.13,48.05,24.02,75.24,52.82,0.10,0.00
5,25.62,78.12,48.05,24.01,75.22,52.82,0.10,0.00
6,25.60,78.08,48.03,24.00,75.20,52.80,0.10,0.00
7,25.63,78.13,48.02,24.00,75.20,52.79,0.10,0.00
8,25.62,78.12,48.03,23.99,75.18,52.80,0.10,0.00
9,25.63,78.13,48.02,24.01,75.22,52.82,0.10,0.00
10,25.63,78.13,48.02,24.03,75.26,52.82,0.10,0.00
11,25.64,78.15,48.01,24.02,75.24,52.83,0.10,0.00
12,25.65,78.17,48.00,24.01,75.22,52.83,0.10,0.00
13,25.64,78.15,47.99,23.99,75.18,52.81,0.10,0.00
14,25.65,78.17,47.99,24.00,75.20,52.81,0.10,0.00
15,25.65,78.17,47.96,23.99,75.18,52.80,0.10,0.00
16,25.64,78.15,47.97,24.01,75.22,52.80,0.10,0.00
17,25.65,78.17,47.96,24.03,75.26,52.81,0.85,0.08
18,25.65,78.17,47.93,23.99,75.18,52.82,2.00,0.08
19,25.65,78.17,47.94,23.99,75.18,52.82,2.00,0.08
20,25.67,78.21,47.92,23.99,75.18,52.83,2.00,0.08
21,25.65,78.17,47.92,23.98,75.16,52.82,2.00,0.08
22,25.65,78.17,47.91,23.98,75.16,52.82,2.00,0.08
23,25.66,78.19,47.88,23.99,75.18,52.84,2.00,0.08
24,25.67,78.21,47.86,23.98,75.16,52.83,2.00,0.08
25,25.66,78.19,47.86,23.99,75.18,52.83,2.00,0.08
26,25.68,78.23,47.86,23.98,75.16,52.83,2.00,0.08
27,25.68,78.23,47.84,24.00,75.20,52.84,2.00,0.08
28,25.71,78.27,47.85,23.99,75.18,52.83,2.00,0.08
29,25.68,78.23,47.83,23.97,75.14,52.85,2.00,0.08
30,25.71,78.27,47.81,23.96,75.12,52.85,2.00,0.08
31,25.71,78.27,47.79,23.98,75.16,52.84,2.00,0.08
32,25.72,78.29,47.79,23.96,75.12,52.86,2.00,0.08
33,25.73,78.31,47.79,23.96,75.12,52.86,2.00,0.08
34,25.73,78.31,47.78,23.98,75.16,52.85,2.00,0.08
35,25.73,78.31,47.76,23.96,75.12,52.87,2.00,0.08
36,25.73,78.31,47.76,23.96,75.12,52.87,2.00,0.08
37,25.74,78.33,47.77,23.96,75.12,52.87,2.00,0.08
38,25.75,78.35,47.76,23.97,75.14,52.88,2.00,0.08
39,25.76,78.37,47.73,23.96,75.12,52.89,2.00,0.08
40,25.76,78.37,47.73,23.98,75.16,52.89,2.00,0.08
41,25.78,78.40,47.73,23.96,75.12,52.90,2.00,0.08
42,25.79,78.42,47.72,23.96,75.12,52.90,2.00,0.08
43,25.80,78.44,47.72,23.98,75.16,52.88,2.00,0.08
44,25.82,78.48,47.72,23.98,75.16,52.89,1.11,0.16
45,25.82,78.48,47.69,23.97,75.14,52.90,2.00,0.16
46,25.84,78.52,47.67,23.98,75.16,52.91,1.48,0.24
47,25.87,78.56,47.67,23.96,75.12,52.90,0.47,0.32
48,25.86,78.54,47.66,23.97,75.14,52.90,2.00,0.32
49,25.88,78.58,47.67,23.98,75.16,52.91,2.00,0.32
50,25.89,78.60,47.67,24.00,75.20,52.91,2.00,0.32
51,25.92,78.66,47.64,23.99,75.18,52.91,0.10,0.32
52,25.92,78.66,47.62,23.97,75.14,52.90,2.00,0.32
53,25.91,78.64,47.64,23.97,75.14,52.92,2.00,0.32
54,25.93,78.67,47.62,23.96,75.12,52.93,2.00,0.32
55,25.95,78.71,47.59,23.99,75.18,52.92,1.29,0.40
56,25.97,78.75,47.60,23.96,75.12,52.92,0.33,0.47
57,25.98,78.77,47.60,23.97,75.14,52.92,1.16,0.55
58,26.01,78.81,47.60,23.96,75.12,52.89,0.28,0.63
59,26.01,78.81,47.57,23.96,75.12,52.90,2.00,0.63
60,26.01,78.81,47.60,23.97,75.14,52.90,2.00,0.63
61,26.03,78.85,47.57,23.97,75.14,52.91,2.00,0.63
62,26.05,78.89,47.54,23.95,75.10,52.93,0.93,0.70
63,26.06,78.91,47.53,23.98,75.16,52.91,1.59,0.78
64,26.07,78.93,47.54,23.95,75.10,52.91,2.00,0.78
65,26.08,78.95,47.51,23.95,75.10,52.91,2.00,0.78
66,26.10,78.98,47.50,23.96,75.12,52.93,1.01,0.85
67,26.12,79.02,47.50,23.96,75.12,52.92,0.22,0.92
68,26.11,79.00,47.49,23.96,75.12,52.91,2.00,0.92
69,26.17,79.10,47.50,23.96,75.12,52.94,0.10,0.92
70,26.17,79.10,47.47,23.96,75.12,52.94,0.95,1.00
71,26.19,79.14,47.48,23.97,75.14,52.93,0.19,1.07
72,26.18,79.12,47.46,23.97,75.14,52.93,2.00,1.07
73,26.21,79.18,47.44,23.96,75.12,52.94,0.77,1.14
74,26.23,79.22,47.46,23.96,75.12,52.92,0.10,1.14
75,26.25,79.25,47.43,23.97,75.14,52.93,0.10,1.14
76,26.24,79.23,47.43,23.98,75.16,52.94,2.00,1.14
77,26.27,79.29,47.40,23.96,75.12,52.93,0.45,1.21
78,26.28,79.31,47.41,23.97,75.14,52.93,1.31,1.28
79,26.30,79.33,47.37,23.95,75.10,52.94,1.91,1.35
80,26.31,79.35,47.38,23.96,75.12,52.94,2.00,1.35
81,26.34,79.41,47.36,23.96,75.12,52.94,0.10,1.35
82,26.34,79.41,47.34,23.94,75.08,52.94,2.00,1.35
83,26.36,79.45,47.33,23.96,75.12,52.94,1.00,1.42
84,26.37,79.47,47.33,23.96,75.12,52.95,1.70,1.49
85,26.37,79.47,47.30,23.96,75.12,52.94,2.00,1.49
86,26.39,79.51,47.30,23.97,75.14,52.96,1.99,1.56
87,26.41,79.54,47.28,23.95,75.10,52.96,0.94,1.63
88,26.41,79.54,47.25,23.95,75.10,52.94,2.00,1.63
89,26.46,79.62,47.25,23.97,75.14,52.94,0.10,1.63
90,26.46,79.62,47.23,23.96,75.12,52.94,1.65,1.70
91,26.46,79.62,47.22,23.96,75.12,52.94,2.00,1.70
92,26.49,79.68,47.22,23.96,75.12,52.93,0.55,1.76
93,26.51,79.72,47.20,23.98,75.16,52.95,0.10,1.76
94,26.52,79.74,47.18,23.96,75.12,52.97,1.03,1.83
95,26.53,79.76,47.17,23.96,75.12,52.94,1.77,1.90
96,26.56,79.81,47.16,23.97,75.14,52.97,0.10,1.90
97,26.54,79.78,47.13,23.95,75.10,52.96,2.00,1.90
98,26.58,79.85,47.13,23.96,75.12,52.97,0.10,1.90
99,26.58,79.85,47.11,23.94,75.08,52.98,2.00,1.90
100,26.60,79.87,47.09,23.95,75.10,52.96,2.00,1.90
101,26.62,79.91,47.07,23.92,75.06,52.96,1.37,1.96
102,26.60,79.87,47.05,23.96,75.12,52.96,2.00,1.96
103,26.65,79.97,47.05,23.92,75.06,52.95,0.10,1.96
104,26.65,79.97,47.03,23.95,75.10,52.98,2.00,1.96
105,26.66,79.99,46.99,23.92,75.06,52.94,2.00,1.96
106,26.67,80.01,47.01,23.95,75.10,52.98,2.00,1.96
107,26.67,80.01,46.99,23.92,75.06,52.97,2.00,1.96
108,26.70,80.06,46.96,23.95,75.10,52.98,0.91,2.02
109,26.71,80.08,46.95,23.92,75.06,52.97,1.65,2.09
110,26.70,80.06,46.92,23.92,75.06,52.96,2.00,2.09
111,26.73,80.12,46.93,23.92,75.06,52.98,1.51,2.15
112,26.75,80.14,46.89,23.91,75.05,52.98,2.00,2.15
113,26.77,80.18,46.89,23.94,75.08,53.00,0.96,2.21
114,26.77,80.18,46.88,23.94,75.08,53.00,2.00,2.21
115,26.76,80.16,46.86,23.94,75.08,52.99,2.00,2.21
116,26.78,80.20,46.81,23.94,75.08,53.00,2.00,2.21
117,26.81,80.26,46.82,23.95,75.10,53.00,0.55,2.27
118,26.80,80.24,46.79,23.94,75.08,53.01,2.00,2.27
119,26.82,80.28,46.79,23.96,75.12,53.00,2.00,2.27
120,26.84,80.32,46.79,23.95,75.10,53.01,1.23,2.33
121,26.85,80.34,46.77,23.96,75.12,53.02,1.89,2.39
122,26.86,80.35,46.76,23.96,75.12,53.01,2.00,2.39
123,26.89,80.39,46.75,23.95,75.10,53.00,1.16,2.45
124,26.87,80.37,46.71,23.95,75.10,53.02,2.00,2.45
125,26.92,80.45,46.73,23.94,75.08,53.01,0.10,2.45
126,26.92,80.45,46.71,23.96,75.12,53.01,2.00,2.45
127,26.93,80.47,46.69,23.96,75.12,53.02,2.00,2.45
128,26.96,80.53,46.68,23.94,75.08,53.01,0.10,2.45
129,26.96,80.53,46.66,23.96,75.12,53.01,2.00,2.45
130,26.98,80.57,46.67,23.95,75.10,53.02,1.15,2.51
131,26.98,80.57,46.64,23.92,75.06,53.01,2.00,2.51
132,27.00,80.61,46.62,23.95,75.10,53.01,1.75,2.57
133,27.04,80.66,46.60,23.92,75.06,53.02,0.10,2.57
134,27.05,80.68,46.57,23.92,75.06,53.01,0.57,2.62
135,27.06,80.70,46.56,23.92,75.06,53.01,1.44,2.68
136,27.06,80.70,46.56,23.91,75.05,53.01,2.00,2.68
137,27.09,80.76,46.55,23.92,75.06,53.01,0.46,2.73
138,27.09,80.76,46.52,23.94,75.08,53.01,2.00,2.73
139,27.09,80.76,46.51,23.91,75.05,53.02,2.00,2.73
140,27.12,80.82,46.51,23.92,75.06,53.01,1.05,2.79
141,27.13,80.84,46.47,23.94,75.08,53.02,1.77,2.84
142,27.15,80.88,46.48,23.95,75.10,53.03,0.82,2.90
143,27.15,80.88,46.45,23.91,75.05,53.01,2.00,2.90
144,27.16,80.90,46.43,23.95,75.10,53.02,2.00,2.90
145,27.21,80.97,46.41,23.96,75.12,53.01,0.10,2.90
146,27.23,81.01,46.40,23.92,75.06,53.04,0.10,2.90
147,27.21,80.97,46.38,23.94,75.08,53.04,2.00,2.90
148,27.24,81.03,46.37,23.94,75.08,53.04,1.15,2.95
149,27.24,81.03,46.36,23.92,75.06,53.04,2.00,2.95
150,27.24,81.03,46.36,23.94,75.08,53.04,2.00,2.95
151,27.27,81.09,46.32,23.95,75.10,53.04,1.24,3.00
152,27.28,81.11,46.31,23.95,75.10,53.01,1.89,3.05
153,27.30,81.15,46.31,23.94,75.08,53.04,0.88,3.11
154,27.32,81.18,46.31,23.95,75.10,53.04,0.22,3.16
155,27.31,81.17,46.27,23.94,75.08,53.04,2.00,3.16
156,27.34,81.20,46.25,23.92,75.06,53.03,2.00,3.16
157,27.34,81.20,46.23,23.95,75.10,53.04,2.00,3.16
158,27.34,81.20,46.22,23.94,75.08,53.03,2.00,3.16
159,27.35,81.22,46.21,23.95,75.10,53.02,2.00,3.16
160,27.37,81.26,46.19,23.96,75.12,53.02,2.00,3.16
161,27.40,81.32,46.19,23.95,75.10,53.02,0.10,3.16
162,27.41,81.34,46.18,23.94,75.08,53.03,0.92,3.21
163,27.43,81.38,46.13,23.96,75.12,53.04,0.21,3.26
164,27.40,81.32,46.12,23.94,75.08,53.02,2.00,3.26
165,27.44,81.40,46.12,23.96,75.12,53.01,1.36,3.30
166,27.45,81.42,46.10,23.96,75.12,53.04,1.97,3.35
167,27.45,81.42,46.07,23.95,75.10,53.02,2.00,3.35
168,27.47,81.45,46.06,23.95,75.10,53.01,2.00,3.35
169,27.47,81.45,46.05,23.95,75.10,53.00,2.00,3.35
170,27.47,81.45,46.05,23.94,75.08,53.01,2.00,3.35
171,27.50,81.49,46.02,23.92,75.06,52.99,2.00,3.35
172,27.50,81.49,46.01,23.94,75.08,53.01,2.00,3.35
173,27.51,81.51,45.98,23.91,75.05,52.99,2.00,3.35
174,27.54,81.57,45.99,23.92,75.06,53.00,0.78,3.40
175,27.55,81.59,45.96,23.91,75.05,53.00,1.57,3.45
176,27.56,81.61,45.96,23.90,75.03,53.00,2.00,3.45
177,27.55,81.59,45.93,23.91,75.05,53.00,2.00,3.45
178,27.58,81.65,45.94,23.90,75.03,52.98,1.67,3.49
179,27.58,81.65,45.93,23.91,75.05,52.99,2.00,3.49
180,27.60,81.69,45.89,23.90,75.03,52.98,1.98,3.54
181,27.61,81.71,45.88,23.90,75.03,53.00,2.00,3.54
182,27.63,81.73,45.86,23.91,75.05,53.00,2.00,3.54
183,27.63,81.73,45.86,23.89,75.01,52.98,2.00,3.54
184,27.65,81.76,45.84,23.92,75.06,53.00,2.00,3.54
185,27.69,81.84,45.84,23.92,75.06,53.01,0.10,3.54
186,27.69,81.84,45.83,23.92,75.06,53.01,1.25,3.58
187,27.69,81.84,45.83,23.91,75.05,53.02,2.00,3.58
188,27.69,81.84,45.79,23.92,75.06,53.00,2.00,3.58
189,27.71,81.88,45.79,23.94,75.08,53.01,2.00,3.58
190,27.73,81.92,45.78,23.90,75.03,53.01,1.30,3.63
191,27.73,81.92,45.75,23.90,75.03,53.01,2.00,3.63
192,27.75,81.96,45.74,23.89,75.01,53.01,1.75,3.67
193,27.79,82.01,45.74,23.90,75.03,53.01,0.10,3.67
194,27.78,82.00,45.74,23.90,75.03,53.02,2.00,3.67
195,27.76,81.98,45.71,23.90,75.03,53.01,2.00,3.67
196,27.80,82.03,45.69,23.89,75.01,53.03,2.00,3.67
197,27.82,82.07,45.67,23.90,75.03,53.01,0.97,3.71
198,27.83,82.09,45.66,23.87,74.97,53.01,1.64,3.75
199,27.82,82.07,45.65,23.90,75.03,53.01,2.00,3.75
200,27.87,82.17,45.66,23.90,75.03,53.01,0.10,3.75
201,27.85,82.13,45.62,23.88,74.99,53.02,2.00,3.75
202,27.87,82.17,45.62,23.90,75.03,53.04,2.00,3.75
203,27.87,82.17,45.61,23.89,75.01,53.02,2.00,3.75
204,27.89,82.21,45.60,23.88,74.99,53.03,2.00,3.75
205,27.90,82.23,45.59,23.89,75.01,53.03,2.00,3.75
206,27.91,82.25,45.58,23.88,74.99,53.02,2.00,3.75
207,27.91,82.25,45.56,23.89,75.01,53.01,2.00,3.75
208,27.93,82.27,45.55,23.89,75.01,53.04,2.00,3.75
209,27.96,82.32,45.54,23.88,74.99,53.03,0.45,3.79
210,27.96,82.32,45.51,23.88,74.99,53.04,2.00,3.79
211,27.97,82.34,45.50,23.90,75.03,53.04,2.00,3.79
212,27.97,82.34,45.49,23.87,74.97,53.06,2.00,3.79
213,27.99,82.38,45.48,23.89,75.01,53.04,2.00,3.79
214,28.01,82.42,45.49,23.91,75.05,53.07,0.95,3.83
215,28.01,82.42,45.45,23.89,75.01,53.06,2.00,3.83
216,28.01,82.42,45.46,23.90,75.03,53.06,2.00,3.83
217,28.02,82.44,45.45,23.91,75.05,53.06,2.00,3.83
218,28.03,82.46,45.43,23.95,75.10,53.07,2.00,3.83
219,28.03,82.46,45.43,23.95,75.10,53.08,2.00,3.83
220,28.06,82.52,45.41,23.92,75.06,53.09,1.08,3.87
221,28.09,82.56,45.40,23.95,75.10,53.07,0.18,3.90
222,28.11,82.59,45.39,23.95,75.10,53.07,0.10,3.90
223,28.10,82.57,45.39,23.92,75.06,53.07,2.00,3.90
224,28.10,82.57,45.38,23.95,75.10,53.08,2.00,3.90
225,28.13,82.63,45.38,23.97,75.14,53.07,1.09,3.94
226,28.12,82.61,45.33,23.97,75.14,53.07,2.00,3.94
227,28.14,82.65,45.35,23.92,75.06,53.07,2.00,3.94
228,28.14,82.65,45.32,23.96,75.12,53.06,2.00,3.94
229,28.17,82.71,45.31,23.96,75.12,53.07,0.61,3.97
230,28.17,82.71,45.31,23.96,75.12,53.07,2.00,3.97
231,28.17,82.71,45.28,23.98,75.16,53.07,2.00,3.97
232,28.18,82.73,45.27,23.98,75.16,53.07,2.00,3.97
233,28.19,82.75,45.27,23.97,75.14,53.06,2.00,3.97
234,28.19,82.75,45.24,23.98,75.16,53.07,2.00,3.97
235,28.19,82.75,45.24,23.97,75.14,53.05,2.00,3.97
236,28.23,82.81,45.21,23.96,75.12,53.04,1.48,4.01
237,28.21,82.79,45.20,23.97,75.14,53.05,2.00,4.01
238,28.25,82.84,45.21,23.97,75.14,53.04,1.12,4.04
239,28.25,82.84,45.19,23.97,75.14,53.04,2.00,4.04
240,28.25,82.84,45.19,23.95,75.10,53.02,2.00,4.04
241,28.28,82.90,45.18,23.97,75.14,53.05,0.84,4.07
242,28.28,82.90,45.17,23.96,75.12,53.04,2.00,4.07
243,28.29,82.92,45.16,23.96,75.12,53.03,2.00,4.07
244,28.31,82.96,45.15,23.97,75.14,53.05,1.22,4.11
245,28.31,82.96,45.12,23.96,75.12,53.04,2.00,4.11
246,28.34,83.02,45.13,23.96,75.12,53.02,0.10,4.11
247,28.34,83.02,45.12,23.98,75.16,53.02,2.00,4.11
248,28.32,82.98,45.08,23.96,75.12,53.04,2.00,4.11
249,28.34,83.02,45.08,23.96,75.12,53.02,2.00,4.11
250,28.35,83.04,45.07,23.94,75.08,53.01,2.00,4.11
251,28.38,83.08,45.07,23.95,75.10,53.01,1.61,4.14
252,28.41,83.13,45.05,23.95,75.10,53.01,0.10,4.14
253,28.41,83.13,45.05,23.96,75.12,53.01,1.58,4.17
254,28.41,83.13,45.04,23.96,75.12,53.01,2.00,4.17
255,28.43,83.17,45.03,23.96,75.12,53.01,1.57,4.20
256,28.42,83.15,45.03,23.94,75.08,53.01,2.00,4.20
257,28.43,83.17,45.01,23.95,75.10,53.00,2.00,4.20
258,28.45,83.21,44.99,23.95,75.10,53.01,2.00,4.20
259,28.45,83.21,44.99,23.94,75.08,52.99,2.00,4.20
260,28.46,83.23,44.98,23.97,75.14,53.01,2.00,4.20
261,28.47,83.25,44.98,23.96,75.12,53.01,2.00,4.20
262,28.46,83.23,44.95,23.94,75.08,53.00,2.00,4.20
263,28.48,83.27,44.96,23.95,75.10,53.01,2.00,4.20
264,28.50,83.31,44.93,23.92,75.06,52.99,1.37,4.23
265,28.55,83.39,44.93,23.92,75.06,53.00,0.10,4.23
266,28.53,83.35,44.93,23.91,75.05,52.99,2.00,4.23
267,28.53,83.35,44.92,23.94,75.08,52.99,2.00,4.23
268,28.56,83.40,44.90,23.92,75.06,52.98,0.81,4.25
269,28.55,83.39,44.88,23.92,75.06,52.98,2.00,4.25
270,28.55,83.39,44.89,23.92,75.06,52.98,2.00,4.25
271,28.56,83.40,44.86,23.89,75.01,52.97,2.00,4.25
272,28.57,83.42,44.86,23.91,75.05,52.98,2.00,4.25
273,28.58,83.44,44.84,23.90,75.03,52.97,2.00,4.25
274,28.58,83.44,44.83,23.90,75.03,52.98,2.00,4.25
275,28.61,83.50,44.83,23.90,75.03,52.98,0.66,4.28
276,28.62,83.52,44.80,23.89,75.01,52.98,1.19,4.31
277,28.60,83.48,44.81,23.89,75.01,52.98,2.00,4.31
278,28.60,83.48,44.80,23.90,75.03,52.97,2.00,4.31
279,28.61,83.50,44.78,23.89,75.01,52.99,2.00,4.31
280,28.62,83.52,44.77,23.89,75.01,52.99,2.00,4.31
281,28.64,83.56,44.77,23.89,75.01,52.98,1.92,4.33
282,28.62,83.52,44.74,23.88,74.99,52.99,2.00,4.33
283,28.64,83.56,44.74,23.89,75.01,53.00,2.00,4.33
284,28.63,83.54,44.76,23.91,75.05,53.01,2.00,4.33
285,28.67,83.60,44.74,23.88,74.99,53.01,1.83,4.36
286,28.67,83.60,44.73,23.90,75.03,53.00,2.00,4.36
287,28.67,83.60,44.72,23.88,74.99,53.00,2.00,4.36
288,28.68,83.62,44.70,23.88,74.99,53.01,2.00,4.36
289,28.69,83.64,44.70,23.88,74.99,53.01,2.00,4.36
290,28.71,83.67,44.69,23.89,75.01,53.03,1.39,4.38
291,28.71,83.67,44.69,23.90,75.03,53.01,2.00,4.38
292,28.69,83.64,44.68,23.89,75.01,53.03,2.00,4.38
293,28.71,83.67,44.68,23.87,74.97,53.01,2.00,4.38
294,28.71,83.67,44.69,23.88,74.99,53.01,2.00,4.38
295,28.72,83.69,44.66,23.88,74.99,53.02,2.00,4.38
296,28.71,83.67,44.64,23.88,74.99,53.01,2.00,4.38
297,28.74,83.73,44.65,23.89,75.01,53.03,1.97,4.41
298,28.73,83.71,44.64,23.87,74.97,53.03,2.00,4.41
299,28.75,83.75,44.64,23.89,75.01,53.03,2.00,4.41
300,28.76,83.77,44.63,23.87,74.97,53.04,2.00,4.41
301,28.76,83.77,44.64,23.88,74.99,53.03,2.00,4.41
302,28.75,83.75,44.62,23.89,75.01,53.04,2.00,4.41
303,28.78,83.81,44.62,23.87,74.97,53.03,1.85,4.43
304,28.80,83.85,44.63,23.85,74.93,53.03,0.49,4.45
305,28.79,83.83,44.61,23.86,74.95,53.03,2.00,4.45
306,28.82,83.87,44.61,23.88,74.99,53.04,1.85,4.48
307,28.80,83.85,44.60,23.86,74.95,53.04,2.00,4.48
308,28.82,83.87,44.58,23.86,74.95,53.04,2.00,4.48
309,28.83,83.89,44.58,23.85,74.93,53.04,2.00,4.48
310,28.85,83.93,44.58,23.88,74.99,53.04,1.42,4.50
311,28.85,83.93,44.58,23.88,74.99,53.04,2.00,4.50
312,28.85,83.93,44.58,23.86,74.95,53.04,2.00,4.50
313,28.88,83.98,44.56,23.87,74.97,53.06,0.57,4.52
314,28.87,83.96,44.57,23.88,74.99,53.04,2.00,4.52
315,28.88,83.98,44.56,23.86,74.95,53.05,2.00,4.52
316,28.88,83.98,44.54,23.85,74.93,53.06,2.00,4.52
317,28.89,84.00,44.54,23.86,74.95,53.06,2.00,4.52
318,28.90,84.02,44.55,23.86,74.95,53.04,2.00,4.52
319,28.90,84.02,44.53,23.87,74.97,53.06,2.00,4.52
320,28.90,84.02,44.51,23.86,74.95,53.07,2.00,4.52
321,28.92,84.06,44.52,23.86,74.95,53.06,2.00,4.52
322,28.93,84.08,44.52,23.86,74.95,53.07,2.00,4.52
323,28.92,84.06,44.50,23.86,74.95,53.06,2.00,4.52
324,28.93,84.08,44.51,23.88,74.99,53.06,2.00,4.52
325,28.94,84.10,44.49,23.88,74.99,53.06,2.00,4.52
326,28.97,84.14,44.49,23.88,74.99,53.07,1.38,4.54
327,28.95,84.12,44.47,23.87,74.97,53.06,2.00,4.54
328,28.95,84.12,44.47,23.89,75.01,53.06,2.00,4.54
329,28.99,84.18,44.48,23.89,75.01,53.06,1.10,4.56
330,28.97,84.14,44.45,23.92,75.06,53.06,2.00,4.56
331,28.99,84.18,44.45,23.88,74.99,53.08,2.00,4.56
332,28.97,84.14,44.45,23.86,74.95,53.06,2.00,4.56
333,28.98,84.16,44.45,23.88,74.99,53.06,2.00,4.56
334,29.01,84.22,44.42,23.88,74.99,53.07,1.24,4.58
335,29.00,84.20,44.42,23.86,74.95,53.06,2.00,4.58
336,29.03,84.25,44.43,23.87,74.97,53.07,0.62,4.60
337,29.03,84.25,44.42,23.86,74.95,53.06,2.00,4.60
338,29.04,84.27,44.42,23.87,74.97,53.07,2.00,4.60
339,29.07,84.33,44.42,23.87,74.97,53.07,0.10,4.60
340,29.06,84.31,44.41,23.86,74.95,53.07,2.00,4.60
341,29.06,84.31,44.39,23.85,74.93,53.07,2.00,4.60
342,29.06,84.31,44.38,23.88,74.99,53.07,2.00,4.60
343,29.07,84.33,44.39,23.87,74.97,53.07,2.00,4.60
344,29.09,84.37,44.38,23.86,74.95,53.08,1.63,4.61
345,29.11,84.39,44.39,23.87,74.97,53.08,1.68,4.63
346,29.13,84.43,44.37,23.86,74.95,53.07,0.26,4.65
347,29.13,84.43,44.37,23.85,74.93,53.07,2.00,4.65
348,29.12,84.41,44.36,23.87,74.97,53.07,2.00,4.65
349,29.12,84.41,44.37,23.86,74.95,53.06,2.00,4.65
350,29.13,84.43,44.35,23.86,74.95,53.08,2.00,4.65
351,29.16,84.49,44.34,23.88,74.99,53.07,0.43,4.67
352,29.17,84.51,44.33,23.86,74.95,53.09,0.86,4.68
353,29.15,84.47,44.31,23.87,74.97,53.08,2.00,4.68
354,29.17,84.51,44.32,23.86,74.95,53.07,2.00,4.68
355,29.18,84.52,44.29,23.86,74.95,53.08,2.00,4.68
356,29.17,84.51,44.30,23.88,74.99,53.09,2.00,4.68
357,29.19,84.54,44.29,23.86,74.95,53.09,2.00,4.68
358,29.19,84.54,44.28,23.88,74.99,53.07,2.00,4.68
359,29.19,84.54,44.28,23.86,74.95,53.08,2.00,4.68
360,29.22,84.60,44.29,23.88,74.99,53.07,0.61,4.70
361,29.21,84.58,44.26,23.88,74.99,53.09,2.00,4.70
